Broad Domain 1,Broad Domain 2,Broad Domain 3,MTM Title ,HD scenario body,HD scenario body #2 (negation scenarios only),HD comprehension question,HD correct response,HD incorrect response,HD photo link,Letters Missing
Romantic Relationships,,,Stress in Your Relationship,"You are planning your wedding with your fiancé. Planning your wedding has sometimes put stress on your relationship, and you and your fiancé have had a few arguments during the process. Once the wedding is over after everything that has happened, you think you and your spouse will feel close again.",,"After the wedding, you and your spouse are likely to","Feel a lot less stressed, and see eye-to-eye more.","Keep fighting, straining your relationship. ",./images/Stress_in_Your_Relationship.jpeg,1
Romantic Relationships,,,Yourself in Old Age ,"You are walking through the park, and you see an elderly couple walking hand in hand. You begin thinking about your own life and imagine yourself at their age. When you think about yourself as an older person, you imagine yourself in a relationship.",,You see your older self,With a loving partner.,Lonely without a significant other.,./images/Yourself_in_Old_Age.jpeg,1
Romantic Relationships,,,Marrying Your Partner,"Your significant other of four years has recently asked how you feel about marriage. You feel very much in love with your significant other, but worry about the high rates of divorce and whether that could happen to you. Reflecting on the idea of marrying your partner, you believe your marriage would make it.",,The likelihood that your marriage would last is:,High,Low,./images/Marrying_Your_Partner.jpeg,1
Romantic Relationships,,,Asking Out Your Friend,"You have been good friends with someone for a few years, and really value your relationship. You are very attracted to your friend, but are unsure how admitting your feelings would affect your friendship. ","If you were to ask your friend on a date, it would not be awkward, and you think your friend would find it flattering",Will your friend be flattered by your invitation for a date?,Yes,No ,./images/Asking_Out_Your_Friend.jpeg,1
Romantic Relationships,,,Texting Your Crush,"You have been hanging out with a cute coworker a lot lately, but aren't sure if your attraction is reciprocated. Today your coworker asks for your number.",Your coworker doesn't seem to be asking for work reasons and will probably use your phone number to ask you out,Does your coworker want to ask you out on a date?,Yes,No,./images/Texting_Your_Crush.jpeg,1
Romantic Relationships,,,Dating a Stranger ,"You are getting ready to go on a first date with someone you haven't previously met in person. You believe you two have a lot in common, but you are worried that sometimes you become very shy when you are nervous. As you think about going on your first date, you believe that your date will think you are boring.",,"Based on how you think your first date will go, you think you will probably",Regret going out with this person.,Go on a second date together.,./images/Dating_a_Stranger.jpeg,2
Romantic Relationships,,,Long Distance Relationship,"Your spouse has decided to go back to school at a prestigious program in another state. You love your spouse very much, but you know that long distance relationships can be difficult. When you picture the future of your relationship with your spouse, you believe the two of you will make it work.",,You believe that your spouse and you,Will work together to overcome the challenges presented by the move.,Can't make your relationship work long distance.,./images/Long_Distance_Relationship.jpeg,2
Romantic Relationships,,,Future Relationships,"You have just broken up with your partner, who you were with longer than any other significant other you've had before. You believe it was for the best, but you also worry if you will ever meet someone else you feel so strongly about. As you think about your future love life, the idea of finding a good life partner seems attainable.",,"After your break up, you think","Eventually, you will meet the person who is right for you.",You will probably never find someone good for you.,./images/Future_Relationships.jpeg,2
Romantic Relationships,,,Relationship Worries,"You receive a call from a friend of yours, telling you that he is getting a divorce. You reflect on your own marriage; and though you love your spouse, you got the same impression from your friend and his wife. As you wonder about your future with your spouse, you feel strongly that you two will stick together.",,"When you imagine you and your spouse in the future, you see",The two of you together and happy.,Your marriage having ended.,./images/Relationship_Worries.jpeg,2
Romantic Relationships,,,Being Single,"You are single. Most of the people in your life are in a relationship. When you think about not having a partner, you feel good. ",N/A,Are you bothered by being single?,No,Yes,./images/Being_Single.jpeg,2
Romantic Relationships,,,Resolving Conflict,"Recently, you and your spouse had a fight. Both of you think you're right, and you're unsure how you're going to resolve the conflict. When you talk next, you will enter the conversation with an open mind. ",N/A,Can you and your spouse resolve your conflict?,Yes,No,./images/Resolving_Conflict.jpeg,2
Romantic Relationships,Family & Home Life,,Quality Time,"With kids in the house, you and your spouse don't get to spend a lot of quality time together. You feel as though you and your spouse are drifting apart. You decide to plan a date night just for the two of you. ",N/A,Can you make time for your spouse?,Yes,No,./images/Quality_Time.jpeg,2
Romantic Relationships,,,Expressing Your Feelings,Your spouse has been spending a lot of time with their friends lately. You feel as though they would rather hang out with their friends than you. You decide to tell your spouse how you feel. ,N/A,Do you keep your emotions bottled up?,No,Yes,./images/Expressing_Your_Feelings.jpeg,2
Romantic Relationships,,,Asking Someone Out ,"You are on a long train ride and really hit it off with an attractive person sitting next to you. As the train ride nears an end, you think about how you would really like to see this person again, but you worry that you might come off as being too forward. When you consider asking the other passenger out for coffee, you are fairly sure this person will accept.",,"If you ask the other person to coffee, the other passenger will probably","Accept your offer, because you two had a great time on the train.","Turn you down, because they're not interested in seeing you again.",./images/Asking_Someone_Out.jpeg,2
Romantic Relationships,,,Dating a Stranger ,"You are getting ready to go on a first date with someone you haven't previously met in person. You believe you two have a lot in common, but you are worried that sometimes you become very shy when you are nervous. ","As you think about going on your first date, you do not think that you will make a bad impression. You believe that your date will think you are interesting.",Will your first date go well?,Yes,No,./images/Dating_a_Stranger.jpeg,2
Romantic Relationships,,,Asking Someone Out ,"You are on a long train ride and really hit it off with an attractive person sitting next to you. As the train ride nears an end, you think about how you would really like to see this person again, but you worry that you might come off as being too forward. When you consider asking the other passenger out for coffee, you are fairly sure this person will decline.",,You think the two of you will probably,Never see each other again.,Go out to coffee and have a great time.,./images/Asking_Someone_Out.jpeg,2
Romantic Relationships,Mental Health,,How You Look,You are going on a date with your spouse. You look in the mirror before you leave and you wonder if they will like your look. You realize that the only opinion that matters about your appearance is yours. ,N/A,Does it matter if your spouse likes your look?,No ,Yes,./images/How_You_Look.jpeg,2
Romantic Relationships,,,Unequal Affection,You have been dating your significant other for a couple months. You start to feel like they might not be as into you as you are into them. You know that this is likely not the case.,,Will you continue to be anxious about this knowing it is not the case?,No,Yes,./images/Unequal_Affection.jpeg,2
Romantic Relationships,Mental Health,,Not Getting a Response,"You notice that your significant other has not been as responsive to your messages recently. This is unlike them, as they typically respond right away. You know they have been extra busy and that is likely why they haven't been responding.",,Will you continue to be anxious about this knowing it is not the case?,No,Yes,./images/Not_Getting_a_Response.jpeg,2
Romantic Relationships,,,Feeling Isolated for Being Single,"All of your friends have been dating significant others for a while or are just getting into relationships.  You have not been on a single date. You feel isolated, but know that you will still be able to see your friends even though they are in relationships.",,Will you actually be isolated from your friends?,No,Yes,./images/Feeling_Isolated_for_Being_Single.jpeg,2
Romantic Relationships,,,Feeling Lesser Than For Being Single,"All of your friends have been dating significant others for a while or are just getting into relationships.  You have not been on a single date, and you start to wonder why. Even though you're disappointed, you remember that your worth is not defined by your relationship status.",,Is there something wrong with you because you're single? ,No,Yes,./images/Feeling_Lesser_Than_For_Being_Single.jpeg,2
Romantic Relationships,,,Balancing a Significant Other and Friends,"You recently got into a relationship. You are enjoying it, but are having a difficult time balancing time with your friends and your significant other. You are worried your friends will be upset if you do not spend enough time with them, but you remind yourself that you can make time for everyone.",,Will your friends hate you for trying to balance?,No,Yes,./images/Balancing_a_Significant_Other_and_Friends.jpeg,2
Romantic Relationships,,,Missing Out From Romantic Relationships,"Many of your friends have been in committed relationships for a long time. You are not in a relationship and do not see one developing soon. Even though you still want a relationship eventually, you also strongly value your independence. ",,Is being single terrible?,No,Yes,./images/Missing_Out_From_Romantic_Relationships.jpeg,2
Romantic Relationships,,,Online Dating,"Your friend has convinced you to sign up on an online dating website. You look over your profile and though you think it reflects who you are very well, you worry if it displays the kind of qualities people are looking for online. ","Thinking about your prospects of finding someone online you don't think you will have a problem, and you believe that your chances of meeting someone soon are high.",Do you think you will meet someone soon?,Yes,No,./images/Online_Dating.jpeg,2
Romantic Relationships,,,Long-Term Relationship,"Your significant other, whom you have been dating for a few years, wants to talk about where your relationship is going. This is the first time you have dated someone for such a long time.","You don't have worries about your relationship, and you see your relationship growing stronger.",Do you think your relationship with your current partner will fizzle out?,No,Yes,./images/Long-Term_Relationship.jpeg,2
Romantic Relationships,,,Online Dating,"Your friend has convinced you to sign up on an online dating website. You look over your profile and though you think it reflects who you are very well, you worry if it displays the kind of qualities people are looking for online. Thinking about your prospects of finding someone online, you believe that your chances of meeting someone soon are low.",,"When checking the site over the next few weeks, you expect",To get very few contacts.,To receive lots of messages from other users.,./images/Online_Dating.jpeg,2
Romantic Relationships,,,Family Not Approving of Significant Other,You recently started dating someone whom you really like a lot. You introduce them to your family and they do not seem to approve of them. You remind yourself that this was just the first meeting and your family will get to know your partner better with time. ,,Will your family be skeptical of your partner forever? ,No,Yes,./images/Family_Not_Approving_of_Significant_Other.jpeg,2
Romantic Relationships,,,Third Wheel,"Two of your best friends are married to each other. While you enjoy hanging out with them, you can't help but feel like you're a third wheel. You realize that they hang with you together because they both think you're enjoyable. ",,Do your friends like hanging out with you?,Yes,No,./images/Third_Wheel.jpeg,2
Romantic Relationships,Family & Home Life,,Overhearing an Argument,"You and your spouse got into an argument last night. While you tried to keep your voices low, your children overheard. You think that your children will be okay. ",,Are your children fine?,Yes,No,./images/Overhearing_an_Argument.jpeg,2
Romantic Relationships,,,Silent Partner,"You and your partner had a disagreement earlier that turned into a large fight. They haven't talked to you since then, and it's been a few hours. You think that they probably just need some alone time, and you'll talk again soon.",N/A,Are you worried that your partner is ignoring you?,No,Yes,./images/Silent_Partner.jpeg,2
Romantic Relationships,,,No Notifications,"It's pretty late in the day, and you haven't talked to your partner at all. You don't think you did anything to upset them, but it seems like they're ignoring you. You realize that they're probably just having a busy week.",N/A,Is your partner ignoring you?,No,Yes,./images/No_Notifications.jpeg,2
Romantic Relationships,,,Work Friend,"Your partner let you know that they're getting dinner with a friend from work. You've never heard your partner talk about any work friends, and you're concerned about who your partner is having dinner with. However, you trust your partner, and tell them to enjoy their dinner.",N/A,Do you trust your partner going to dinner with a work friend?,Yes,No,./images/Work_Friend.jpeg,2
Romantic Relationships,,,Single Friend,"You've been hanging out with your friends a lot recently, and it's becoming apparent that everyone is in a relationship except for you. You've been single for a long time, and a friend points this out to you. You realize that it's okay to be single, and there is no pressure for you to be dating right now.",N/A,Are you concerned about being single?,No,Yes,./images/Single_Friend.jpeg,2
Romantic Relationships,,,Stress in Your Relationship,"You are planning your wedding with your fiancé. Planning your wedding has sometimes put stress on your relationship, and you and your fiancé have had a few arguments during the process. ","Once the wedding is over you don't foresee this stress continuing, and after everything that has happened, you think you and your spouse will feel close again.",Do you think you and your spouse will feel more divided after the wedding?,No,Yes,./images/Stress_in_Your_Relationship.jpeg,2
Romantic Relationships,,,Yourself in Old Age ,"You are walking through the park, and you see an elderly couple walking hand in hand. You begin thinking about your own life and imagine yourself at their age. ","When you think about yourself as an older person you do not believe you will be alone, and you imagine yourself with someone.",Do you imagine yourself alone when you get older?,No,Yes,./images/Yourself_in_Old_Age.jpeg,2
Romantic Relationships,,,Long-Term Relationship,"Your significant other, whom you have been dating for a few years, wants to talk about where your relationship is going. This is the first time you have dated someone for such a long time. You see your relationship fizzling out.",,You think your talk with your partner will most likely:,Degenerate into an argument.,Be a positive exchange about how you feel about each other.,./images/Long-Term_Relationship.jpeg,all
Romantic Relationships,,,Waiting Game,"You've been single for a while, and all of your friends are in relationships. You wonder if this means something about you, since you've been unable to find your person. The more you reflect on it, you think it's okay to wait for the right person, and you're happy with being single.",N/A,Are you upset about being single?,No,Yes,./images/Waiting_Game.jpeg,all
Romantic Relationships,,,Finding The One,"You're currently single, and have been going on dates to try and find the one. Sometimes, it feels hard to really connect with people and get to know them on a deeper level. When you think about getting married in the future, you feel excited.",N/A,Do you plan on getting married? ,Yes,No,./images/Finding_The_One.jpeg,all
Romantic Relationships,,,Staying Together,"You and your partner have been getting into arguments more often recently. You care about them a lot, but worry they don't feel the same. When you think about staying with your partner, you feel confident.",N/A,Will you and your partner end things?,No,Yes,./images/Staying_Together.jpeg,all
Romantic Relationships,,,Dating Apps,"You have been single for a while and would really like to meet someone. Your friends keep suggesting dating apps, but you don’t think this approach will work for you. You think about the many different ways to meet someone and feel hopeful. ",N/A,Do you need dating apps to find someone?,No,Yes,./images/Dating_Apps.jpeg,all
Romantic Relationships,,,Feeling Rushed,"You are single and pretty content with it. One day, your parents start pressuring you and telling you that you are running out of time to meet someone. You tell yourself that as long as you are content, there's no need to rush.",N/A,Are you running out of time to meet someone?,No,Yes,./images/Feeling_Rushed.jpeg,all
Romantic Relationships,,,Divorce Statistics,"You are reading something for class that talks about the rising divorce rate. You’ve been with your spouse for awhile now, but you start to wonder whether your relationship will last. You remind yourself that things are stable right now and that your relationship is unique.",N/A,Is your relationship decided by a statistic?,No,Yes,./images/Divorce_Statistics.jpeg,all
Romantic Relationships,,,Significant Other's Friend,"Your spouse took you to hang out with one of their good friends. Watching them interact, you feel like the friend is romantically interested in your partner. You remind yourself that your partner sees this person as a friend.",N/A,Can you trust your spouse?,Yes,No,./images/Significant_Other's_Friend.jpeg,all
Romantic Relationships,,,Marrying Your Partner,"Your significant other of four years has recently asked how you feel about marriage. You feel very much in love with your significant other, but worry about the high rates of divorce and whether that could happen to you. ","Reflecting on the idea of marrying your partner you don't feel too scared, and you believe your marriage would be successful.",Do you think marrying your partner would work out well?,Yes,No,./images/Marrying_Your_Partner.jpeg,all
Romantic Relationships,,,Long Distance Relationship,"Your spouse has decided to go back to school at a prestigious program in another state. You love your spouse very much, but you know that long distance relationships can be difficult. ","When you picture the future of your relationship with your spouse you do not think the distance will end your relationship, and you believe the two of you will stay together.",Do you believe you and your spouse will stay together after your spouse moves?,Yes,No,./images/Long_Distance_Relationship.jpeg,all
Romantic Relationships,,,Stress in Your Relationship,"You are planning your wedding with your fiancé. Planning your wedding has sometimes put stress on your relationship, and you and your fiancé have had a few arguments during the process. Once the wedding is over after everything that has happened, you think you and your spouse will feel less close.",,"Thinking about your future with your spouse, you see yourself",Bickering more.,Mostly cooperating.,./images/Stress_in_Your_Relationship.jpeg,all
Romantic Relationships,,,Going to a Wedding,"It is wedding season and you are super excited to go to your friend's wedding. When you get there, you notice that most people have a date and you don't. You remember how excited you are for your friend and have a great time celebrating.",N/A,Will you have fun at the wedding without a date?,Yes,No,./images/Going_to_a_Wedding.jpeg,all
Romantic Relationships,,,Making a Decision,You and your spouse have to make a big decision. The conversation gets heated and turns into an argument that makes you wonder whether you and your spouse will ever be able to reach a compromise. You remind yourself that hard conversations can be a good way for you both to learn more about effective communication.,N/A,Does this argument mean you can't move forward in your relationship? ,No,Yes,./images/Making_a_Decision.jpeg,all
Romantic Relationships,,,Visiting your Partner's Parents,"You are visiting your spouse's parents this weekend and have always felt like they didn't completely approve of you. When you’ve seen them in the past, their behavior has brought up arguments between you and your spouse. You remind yourself that it is only for a weekend and you and your spouse can navigate it successfully. ",N/A,Do your spouse's parents dictate how your partner feels about you? ,No,Yes,./images/Visiting_your_Partner's_Parents.jpeg,all
Romantic Relationships,Mental Health,,Getting Ready for a Date,"Your friends have set you up on a date and you're getting ready. The closer you get to leaving, the more you wonder if you look okay and if the person you're meeting will be attracted to you. You remember that one person will not dictate your worth. ",N/A,Do you have to impress this person? ,No,Yes,./images/Getting_Ready_for_a_Date.jpeg,all
Romantic Relationships,,,Texting Other People,"Your partner is very extroverted and has a lot of friends. You really enjoy the time you spend with your partner, but you sometimes wonder if they’d rather be hanging out with their other friends. Reflecting on your relationship with them so far, you feel secure. ",N/A,Does your partner enjoy spending time with you? ,Yes,No,./images/Texting_Other_People.jpeg,all
Romantic Relationships,,,Meeting the Parents,"Your partner's parents are visiting and you are getting dinner with them. You have never met them before, but you know that they hold very different political beliefs than you. As you think about meeting them, you know you will be authentic. ",N/A,Do you need to change your beliefs for the dinner to go well?,No,Yes,./images/Meeting_the_Parents.jpeg,all
Romantic Relationships,,,Breaking Up,"You’ve decided that you want to break up with your partner. You’ve developed a close friend group over the years, and you’re not sure about how the breakup will impact your friendships. When you think about moving forward with the breakup, you feel confident. ",N/A,Will you lose your friends by breaking up?,No,Yes,./images/Breaking_Up.jpeg,all
Romantic Relationships,,,Future Relationships,"You have just broken up with your partner, who you were with longer than any other significant other you've had before. You believe it was for the best, but you also worry if you will ever meet someone else you feel so strongly about. ","As you think about your future love life, you don't worry you will be alone, and the idea of finding a good life partner seems plausible.",Do you think your chances of finding a long-term partner are good?,Yes,No,./images/Future_Relationships.jpeg,all
Romantic Relationships,,,Relationship Worries,"You receive a call from a friend of yours, telling you that he is getting a divorce. You reflect on your own marriage; and though you love your spouse, you got the same impression from your friend and his wife.","As you wonder about your future with your spouse you don't believe you will get a divorce, and you feel strongly that you two will stay married.",Do you feel strongly that you and your spouse will stay married?,Yes,No,./images/Relationship_Worries.jpeg,all
Romantic Relationships,,,Yourself in Old Age ,"You are walking through the park, and you see an elderly couple walking hand in hand. You begin thinking about your own life and imagine yourself at their age. When you think about yourself as an older person, you imagine yourself being alone.",,You imagine an older version of yourself,Sitting alone and feeling isolated.,Walking hand in hand with your partner.,./images/Yourself_in_Old_Age.jpeg,all
Romantic Relationships,Mental Health,,Mask Insecurities,"You have feelings for someone you work with and you have really been enjoying getting to know them. Now that masks are no longer required at work, you are feeling self-conscious and wondering if they are judging what you look like without a mask. You remind yourself that a mask does not change how much you enjoy each other's company.",N/A,Are you still fun to talk to without a mask?,Yes,No,./images/Mask_Insecurities.jpeg,all
Romantic Relationships,,,Tough Topics,"You and your spouse have been together for a long time and are dealing with a recurring argument. You love your spouse but every time this topic comes up, you always disagree and it makes you wonder if you all are really compatible. You remember that it is normal to have disagreements and many couples have conversations that are challenging.",N/A,Do all conversations have to be easy in a relationship?,No,Yes,./images/Tough_Topics.jpeg,all
Romantic Relationships,Mental Health,,Ending Long Distance,"You and your partner have been dating long-distance for awhile and you're going to be living in the same place in just a few months. You’ve never lived in the same place before, and you’re not quite sure how this change could impact your relationship. Even though you feel a bit nervous, you know that this is normal. ",N/A,Is your nervousness a sign that your relationship won't work out? ,No,Yes,./images/Ending_Long_Distance.jpeg,all
Romantic Relationships,,,Shy Significant Other,"You have been wanting your friends to come over for a long time and you have finally planned a dinner. When the time comes, you expect your spouse to be social, but they stay quiet and it feels like they don't want to get to know your friends. You remember that everyone responds to social situations differently.",N/A,Is it bad that your spouse isn't outgoing in all social situations?,No,Yes,./images/Shy_Significant_Other.jpeg,all
Romantic Relationships,Mental Health,,Awkward Conversations,"You invited your spouse to hang out with you and your friends so everyone could get to know each other. As it got later, your spouse brought up a controversial topic and your friends seemed unsure about how to respond. You know that your friends recognize that many people, including you and your spouse, have different opinions.",N/A,Will your friends judge you because of your spouse?,No,Yes,./images/Awkward_Conversations.jpeg,all
Romantic Relationships,Physical Health,,Flu Worries,"Your partner doesn’t take the necessary precautions to prevent the flu. This worries you because someone you know is immunocompromised. When you think about talking to your partner about their actions, you think they will understand.",N/A,Will your partner listen to your concerns?,Yes,No,./images/Flu_Worries.jpeg,all
Romantic Relationships,,,Jealousy,"Your best friend has just gotten into a new relationship. You feel jealous of their new partner because you aren’t getting to spend as much time with your friend as usual. Reflecting on the situation, you realize that they can be in a relationship and still be a great friend. ",N/A,Will your friend still be around for you?,Yes,No,./images/Jealousy.jpeg,all
Romantic Relationships,,,Online Dating,"Your friend has convinced you to sign up on an online dating website. You look over your profile and though you think it reflects who you are very well, you worry if it displays the kind of qualities people are looking for online. ","Thinking about your prospects of finding someone online you don't think you will have a problem, and you believe that your chances of meeting someone soon are high.",Do you think you will meet someone soon?,Yes,No,./images/Online_Dating.jpeg,all
Romantic Relationships,,,Long-Term Relationship,"Your significant other, whom you have been dating for a few years, wants to talk about where your relationship is going. This is the first time you have dated someone for such a long time.","You don't have worries about your relationship, and you see your relationship growing stronger.",Do you think your relationship with your current partner will fizzle out?,No,Yes,./images/Long-Term_Relationship.jpeg,all
Romantic Relationships,,,Write Your Own,,,,,,,write your own
Romantic Relationships,,,Write Your Own,,,,,,,write your own
Romantic Relationships,,,Write Your Own,,,,,,,write your own
Romantic Relationships,,,Marrying Your Partner,"Your significant other of four years has recently asked how you feel about marriage. You feel very much in love with your significant other, but worry about the high rates of divorce and whether that could happen to you. Reflecting on the idea of marrying your partner, you believe your marriage would be a mistake.",,"When you imagine a marriage to your significant other, you see",The relationship eventually breaking down.,The two of you growing together for the rest of your lives.,./images/Marrying_Your_Partner.jpeg,1
Romantic Relationships,,,For the First Time,"You have been asked out on a date for the first time in awhile! You feel nervous about this somewhat new experience and you worry you might do something embarrassing. When you think about the date, you feel excited.",N/A,Will you be miserable on the date?,No,Yes,./images/For_the_First_Time.jpeg,1
Romantic Relationships,Mental Health,,Past Experiences,"Your last relationship did not end very well. You are entering a new relationship, but you are still dealing with the feelings from your past relationship. You think you can work out a compromise together. ",N/A,Will your partner understand?,Yes,No,./images/Past_Experiences.jpeg,1
Romantic Relationships,Social Situations,,Different Personalities ,"You are a homebody, while your partner enjoys going out. You want to stay in for the night, but your partner wants to go to a bar. You think you can work together to figure out a compromise. ",N/A,Will you and your partner figure out a plan together?,Yes,No,./images/Different_Personalities.jpeg,1
Romantic Relationships,Social Situations,,Issues with Friends,"Your partner tells you that they have issues with some of your friends. You have been noticing this, too, but do not want to make anyone upset. When you think about discussing the issues with your friends, you think the conversation will go well. ",N/A,Will your friends understand?,Yes,No,./images/Issues_with_Friends.jpeg,1
Romantic Relationships,Family & Home Life,,Big Families ,"Your fiance has children, while you do not. You are trying to adapt to living with younger children and how to bond with them. You think you will be able to work out a routine and adapt to this new family dynamic. ",N/A,Will you be able to adapt to having a large family?,Yes,No,./images/Big_Families.jpeg,1
Romantic Relationships,Work/Career Development,,Life Changes ,"Your partner wants to change jobs and move out of state. You really care about your partner, but you also enjoy the life you have where you currently are. When you think about what the future holds for your partner at their new job, you feel excited. ",N/A,Will distance make your relationship fall apart? ,No,Yes,./images/Life_Changes.jpeg,1
Romantic Relationships,,,Ghosting ,"You’ve been talking to someone from a dating app. About a week ago, they stopped texting you and you haven’t heard anything since. Though you enjoyed the conversation, you are moving on and that’s okay. ",N/A,Will you be hung up on this experience forever? ,No,Yes,./images/Ghosting.jpeg,1
Romantic Relationships,,,Asking Out Your Friend,"You have been good friends with someone for a few years, and really value your relationship. You are very attracted to your friend, but are unsure how admitting your feelings would affect your friendship. ","If you were to ask your friend on a date, it would not be awkward, and you think your friend would find it flattering",Will your friend be flattered by your invitation for a date?,Yes,No ,./images/Asking_Out_Your_Friend.jpeg,1
Romantic Relationships,,,Texting Your Crush,"You have been hanging out with a cute coworker a lot lately, but aren't sure if your attraction is reciprocated. Today your coworker asks for your number.",Your coworker doesn't seem to be asking for work reasons and will probably use your phone number to ask you out,Does your coworker want to ask you out on a date?,Yes,No,./images/Texting_Your_Crush.jpeg,1
Romantic Relationships,,,Long Distance Relationship,"Your spouse has decided to go back to school at a prestigious program in another state. You love your spouse very much, but you know that long distance relationships can be difficult. When you picture the future of your relationship with your spouse, you believe the two of you will get divorced.",,You can see your spouse saying,"""I don't think this is working out.""","""I'm so glad we are able to do this together.""",./images/Long_Distance_Relationship.jpeg,1
Romantic Relationships,Mental Health,,Mental Health Resources,"Recently, your partner has been struggling with their mental health. You want to help them, but you don’t know how. You decide to do research on possible resources you can share to be supportive. ",N/A,Are you unable to help your partner? ,No,Yes,./images/Mental_Health_Resources.jpeg,1
Romantic Relationships,Mental Health,,Mental Health Issues,"You have not been feeling yourself lately and want to ask your partner for help. Though you trust them, you are struggling to find the right words to say. You decide to sit down with your partner and you feel confident. ",N/A,Will you partner be understanding?,Yes,No,./images/Mental_Health_Issues.jpeg,1
Romantic Relationships,Family & Home Life,,Getting Over It,"You recently went through a major breakup with your long term partner. You want to ask your family and friends for support, but you don’t know how. When you tell them you are struggling, they applaud your honesty. ",N/A,Will your friends and family be supportive?,Yes,No,./images/Getting_Over_It.jpeg,1
Romantic Relationships,Family & Home Life,,Family Communication,"Your family has not approved of your partner from the beginning and it is starting to get on your nerves. You don’t want to cause any further conflict, but their behavior is making you uncomfortable. You make a plan to have a conversation and you think it will go well. ",N/A,Will the conversation with your family will go well? ,Yes,No,./images/Family_Communication.jpeg,1
Romantic Relationships,Mental Health,,Opening Up,"You've recently been feeling more anxious than usual, and this is affecting your ability to do things with your partner. You've never told your partner about your anxiety, and you wonder if they'll judge you for it. When you talk to your partner about your mental health, you expect them to be understanding.",N/A,Will you tell your partner about your anxiety?,Yes,No,./images/Opening_Up.jpeg,1
Romantic Relationships,Mental Health,,Supporting Partner,"For the past few weeks, your partner has become more isolated and distant. You want to check in on their mental health, but this isn’t something you tend to talk about and you’re not sure how they’ll react. You decide to be upfront about your concerns, and they are very appreciative. ",N/A,Is your partner mad that you asked about their mental health? ,No,Yes,./images/Supporting_Partner.jpeg,1
Romantic Relationships,Family & Home Life,Mental Health,Family Questions,"It was a cousin's birthday recently, and you attended a large family gathering. At the event, your family wouldn’t stop asking questions about why you're still single, and you weren’t sure how to answer them. When you think about your dating life, you're content with taking it slow.",N/A,Are you upset that you're single? ,No,Yes,./images/Family_Questions.jpeg,1
Romantic Relationships,Mental Health,,Putting Yourself Out There,"You and your significant other have been caught up on your own responsibilities recently, and you feel as though you; 're drifting apart. You decide to plan a dinner date with them, to spend some quality time just the two of you. At dinner, you feel as though you're starting all of the conversations, and your partner seems uninterested. ","You decide to share how you're feeling with them, and they tell you they've just been tired from work and home responsibilities, and didn't realize how much it was affecting your relationship. You feel relieved.  ",Is your relationship okay?,Yes,No,./images/Putting_Yourself_Out_There.jpeg,1
Romantic Relationships,Mental Health,,Friends in Relationships,"Your friends are all in relationships. You are not currently in a relationship, and you wonder if there is something wrong with you. You think that you are undesirable. ","After a while, you realize that it is very normal to not be in a relationship. You think that you enjoy being single, and the right person will come along when you are ready.  ",Are you capable of being in a relationship?,Yes,No,./images/Friends_in_Relationships.jpeg,1
Romantic Relationships,,,Future Relationships,"You have just broken up with your partner, who you were with longer than any other significant other you've had before. You believe it was for the best, but you also worry if you will ever meet someone else you feel so strongly about. As you think about your future love life, the idea of finding a good life partner seems far-fetched.",,"Thinking about yourself in the future, you ultimately see yourself","Alone, after a string of relationships that don't work out.",With a partner to whom you are fully committed.,./images/Future_Relationships.jpeg,1
Romantic Relationships,Family & Home Life,,New Partner,"It is a cousin's birthday next month, and you are attending a large family gathering. You are bringing your partner to the event, and it is the first time some of your family is meeting them. When you think about everyone meeting each other, you think that everything will go well.",N/A,Will your family approve of your partner?,Yes,No,./images/New_Partner.jpeg,1
Romantic Relationships,Family & Home Life,,Family Dinner,"You recently brought your partner to dinner with your siblings. When your partner talks about their career, your siblings look uninterested. You realize that your siblings were probably just focused on listening.",N/A,Do your siblings disapprove of your partner's career choice? ,No,Yes,./images/Family_Dinner.jpeg,1
Romantic Relationships,Family & Home Life,,Making Introductions,"You've been with your new partner for quite a while. You want to introduce your partner to your kids, but you aren't sure how they are going to react. You think asking them how they would feel about meeting your partner is appropriate. ",N/A,Do you ask your kids about meeting your new partner?,Yes,No,./images/Making_Introductions.jpeg,1
Romantic Relationships,Mental Health,,Disclosing Your Mental Health,"You've started a new relationship, and it's really exciting. You've been wanting to tell your partner about your mental health, but you aren't sure what their response will be. You think that they will be accepting. ",N/A,Will your partner reject you?,No,Yes,./images/Disclosing_Your_Mental_Health.jpeg,1
Romantic Relationships,Family & Home Life,,Dealing with Divorce,"You and your spouse recently divorced. Your child is having an event at school tonight, and it will be the first time you and your ex-spouse are attending as single people. You think that you will treat each other cordially. ",N/A,Are you and your ex-spouse going to get along?,Yes,No,./images/Dealing_with_Divorce.jpeg,1
Romantic Relationships,Mental Health,,Couples Counseling,"You and your partner have started couples counseling. You've been to a few sessions, but you and your partner are still having issues. You think that the process will just take time. ",N/A,Do you have faith in the counseling?,Yes,No,./images/Couples_Counseling.jpeg,1
Romantic Relationships,Family & Home Life,,Coming Home,"You and your partner live together, and you have been arguing lately. You aren't looking forward to going home after work because you don't want another argument to happen. When you get home, you will talk to your partner civilly. ",N/A,Can you and your partner get along?,Yes,No,./images/Coming_Home.jpeg,1
