Broad Domain 1,Broad Domain 2,Broad Domain 3,MTM Title ,PD scenario body,PD scenario body #2 (negation scenarios only),PD comprehension question,PD correct response,PD incorrect response,PD photo link,Letters Missing
Physical Health,,,Driving with a Friend,You are in the car with a friend and they are driving the speed limit on the highway. You feel butterflies in your stomach as you see cars passing quickly by. This makes you feel scared.,,Do the butterflies in your stomach make you feel excited?,No,Yes,https://drive.google.com/file/d/1Qg3RtlzGStLsvGsgkLm9QEhINOWo8MDV/view?usp=sharing,all
Physical Health,Social Situations,,Seeing an Old Friend,You see an old friend you haven't spoken to in years. Your heart skips a beat. You feel excited.,,Is it OK that your heart felt like it skipped a beat?,Yes,No,https://drive.google.com/file/d/1y8Ol0_urR_KdDlcWEw9hZ979KBQ_ozHp/view?usp=sharing,all
Physical Health,Social Situations,,Meeting Someone New,You are at a birthday party for a friend of a friend. You start to feel a knot in your stomach while talking to someone you've never met before. This probably means that you are excited.,,Are you worried about talking to a new person?,No ,Yes,https://drive.google.com/file/d/1m8Y-P-lBw6IkILN6LVQ2sO9xx9D8qSBD/view?usp=sharing,all
Physical Health,,,Waking Up Dizzy,"As you wake up in the morning, you sit up quickly. Your vision goes blurry, and then goes black for a moment. Your vision comes back after a moment, and you tell yourself that it happened because you sat up quickly.",,Does your momentary blurry vision mean that you are going blind?,No,Yes,https://drive.google.com/file/d/1zilnZ-Hg2NZiL6TR6YmDYtIdKcj2JFhH/view?usp=sharing,all
Physical Health,Social Situations,,Recent Exposure,"You were recently exposed to someone who had a virus, but you haven't experienced any symptoms. Your friends invite you to get dinner with them, and you wonder if you should go. You feel well and decide to go out with your friends. ",N/A,Do you feel well?,Yes ,No,https://drive.google.com/file/d/1B66SI9Dx9uKodmlWUP36XMclnJ86wzfx/view?usp=drive_link,all
Physical Health,,,Play Cancellation,"A play you bought tickets for a while ago is finally approaching. However, the actors got food poisoning, and the play may be cancelled last minute. You accept this fact and know the director will reschedule if they need to.",N/A,Are you worried about the play getting cancelled?,No,Yes,https://drive.google.com/file/d/1-24c2KWUAgvO9hgrPOi8DOnRnKUVIjKe/view?usp=drive_link,all
Physical Health,,,Cough After Going Out ,"Over the last couple days, you've developed a cough. You went out over the weekend and wonder if you may have gotten sick. On the other hand, you think it may be allergies. ",N/A,Is your cough a definite sign that you're sick?,No,Yes,https://drive.google.com/file/d/14wxdQT03SW3H6H1dQsVqj2B6s1GhUSY7/view?usp=sharing,all
Physical Health,,,Wearing a Mask to Work,"You are immunocompromised and have been taking precautions to protect yourself from the flu, such as getting this season's flu shot. A colleague tells you that they refuse to get the flu vaccine. You decide to start wearing a mask to work since you're immunocompromised and don't want to risk complications from the flu. ",N/A,Are you taking precautions against the flu?,Yes,No,https://drive.google.com/file/d/1FbZn7Ojm0C4dIcZb9cxyFdBmLJVtHK1l/view?usp=drive_link,all
Physical Health,,,Spring Allergies,"It's a chilly spring day, and you are walking outside in the park. As you pass by the trees, you feel increasingly stuffy and sore. You start feeling scared.","Looking around, you see all the pollen flying in the air. You realize that you usually get a stuffy nose with seasonal allergies and are probably tired from playing soccer for the last hour. You feel relieved.",Does your stuffy nose and soreness mean something bad is happening?,No,Yes,https://drive.google.com/file/d/1g1Mx-NYMg_V6pY61FWRZYa5BYSA8RA8i/view?usp=drive_link,all
Physical Health,,,Feeling Faint,You decide to spin yourself really quickly on an office chair. You feel butterflies in your stomach and your head gets dizzy as the chair slows down from spinning. These feelings probably mean that you are going to faint.,"Instead of panicking, you decide to take a deep breathe. Slowly, your dizziness disappears and your stomach feels better.",Are you worried about fainting? ,No,Yes,https://drive.google.com/file/d/1fYamTMa1ZB3CzDOyWxCfhKI3L2j1vR7J/view?usp=sharing,all
,,,Write Your Own,,,,,,,write your own
,,,Write Your Own,,,,,,,write your own
,,,Write Your Own,,,,,,,write your own
Physical Health,,,Walking in the Cold,"It's a cold day, and you are outside walking. Your heart starts to beat quickly a few minutes in. You decide that this feeling is scary.",,Is your rapid heartbeat scary?,Yes,No,https://drive.google.com/file/d/1PDaYV4ruR5KHQn2xEwIFcI4G-ZtiTVMB/view?usp=drive_link,1
Physical Health,,,Out of Breath,"On a walk over the weekend, you noticed you were getting out of breath faster than usual. You remember that the flu causes shortness of breath, and you start to panic. Luckily, you know you've had your flu shot and have done everything you could to prevent the flu.",N/A,Is your shortness of breath flu-related?,No,Yes,https://drive.google.com/file/d/1CUSdhwdv4mKO8c30z-K8wWLX-Dibzj5I/view?usp=drive_link,1
Physical Health,,,Testing Positive for Strep,A few days after attending a birthday party with lots of people and you notice that your throat hurts. You go to the doctor to take a test and find out that you have strep throat. You think about how your health will be affected and think that you will be able to handle the challenges as they come.,N/A,Will you be able to recover from strep?,Yes,No,https://drive.google.com/file/d/16HF6JflQ4VWKxRtBgxJIKaJ-__AZhLLR/view?usp=drive_link,1
Physical Health,,,Headache at the Doctor's Office,"You are at the doctor’s office and they ask you if you are having any COVID symptoms. They list headaches as a possible symptom, something you have been experiencing but didn’t recognize as an issue, and that scares you because you remember how sick your friends got with COVID. You remember that you can focus on your health and rest until you feel better.",N/A,Does your headache mean you will get as sick as your friends?,No,Yes,https://drive.google.com/file/d/1E_zU43NdPQrQs_EbbgIeOVJr1IAQ1b_O/view?usp=sharing,1
Physical Health,,,Computer Screen Problems,"While doing work on your computer, you notice your head starting to hurt. Your headache persists, and you begin to worry that it means you are getting sick. You haven't been exposed to anyone who has been ill, so you conclude that your headache is from looking at your computer for too long.",N/A,Is your headache related to looking at your computer for too long?,Yes,No,https://drive.google.com/file/d/14SW8n5lb3oYoXJv_Rvnap-Aq51sdmBW9/view?usp=sharing,1
Physical Health,,,Hard Walk,"After finding out a friend has a virus, you decide to take yourself to the park for a relaxing day. When you try to go walk for a long time, you feel tired. This is probably because you've been stressed.",,Is your struggle to walk a sign of being sick?,No,Yes,https://drive.google.com/file/d/1r6QzSpIA_7uUj7VMhnHKyc8VIJ5VeM0I/view?usp=drive_link,1
Physical Health,,,Masks with Sensitive Skin,"You have sensitive skin, and wearing a mask makes you break out. When you see people without masks on, their skin is completely clear. You feel insecure about how much acne you have. ","After thinking about it, you realize that you tend to notice aspects about yourself that others don't. You feel good about how you're protecting people by wearing your mask.",Is it good that you're wearing a mask?,Yes ,No,https://drive.google.com/file/d/1kxwTqZLKkj_Ga1sxMdjcBk6LLutuz39T/view?usp=sharing,1
Physical Health,,,Sitting at the Library,"You're at the library when another person sits next to you. They are coughing and sneezing without using a tissue or their elbow, and it makes you feel uneasy. When you lean over to politely ask them to cough and sneeze into their elbow, they follow the healthy habit you've suggested so that you're reassured.",N/A,Do you make the right decision to talk to the person sitting next to you?,Yes ,No,https://drive.google.com/file/d/1nUmCRu4wnqWaowKbc8AkUMsjxFN1g9BU/view?usp=sharing,1
Physical Health,,,Hiking with Friends,"You and your friends have decided to go hiking, even though you are scared you will become too exhausted. A while into the hike, you start breathing heavily. You think the chances you will have to stop are large.",You look around and your friends are tiring too. You decide you will probably be alright.,Are you probably going to be safe on the hike?,Yes,No,https://drive.google.com/file/d/1_h-ZuOeEI_atTR4dz223E24V5sWlPdAn/view?usp=sharing,1
Physical Health,Social Situations,,Walking with a Friend,"You are going on a long walk tomorrow with a friend who walks a long distance every day. You have not been on a long walk in quite some time, and worry if you can keep up or not.","You think that tomorrow you will not fall behind, and the chances you can keep up with your friend are good.",Will you be able to keep up with your friend tomorrow?,Yes,No,https://drive.google.com/file/d/1S24x5sEIadqssQviVVvP9I8ZhijxHtS8/view?usp=drive_link,1
Physical Health,,,Positive Test,"You recently got tested for strep throat, and are expecting your results today. You are in the middle of a meeting when you hear your phone vibrating, and you wonder if you tested positive or negative. You check your voicemail and see that you tested positive. ",N/A,Do you test positive?,Yes ,No,https://drive.google.com/file/d/1Fq-NpWkRkGr7cLwbrV84SzufV_aWAasr/view?usp=sharing,1
Physical Health,Social Situations,,Late Communication,"Your friend invites you to a dinner party and after you leave, they casually mention that one of the people there had been sick and was waiting on a test result. You can’t believe your friend wouldn’t tell you this before they took you to the party. You decide to talk to your friend about it, and they decide to communicate better about risky situations.",N/A,Did your friend put you in a dangerous situation on purpose?,No,Yes,https://drive.google.com/file/d/1bUgYhh6J97bHW_fCGBklhFK19Hg6E412/view?usp=sharing,1
Physical Health,Social Situations,,Safe Delivery,"One of your close friends has the flu, and they ask you to deliver them groceries. You don't want to get exposed by being close to their home, but you also want to be helpful. You find a way to safely deliver the food from afar.",,Are you able to help your friend?,Yes,No,https://drive.google.com/file/d/1c6ieeJOV0oWUI1mr-p9FOf9xvwkeVctA/view?usp=sharing,1
Physical Health,,,Plans to Visit Family,"It is just one day before you are supposed to leave town to go visit your family, and your friend is told they were exposed to someone with strep throat. You both go get tested, but results typically come back in 48 hours. You decide to stay home in case you're sick, and you think your family will understand.",N/A,Can you always reschedule your trip to see your family?,Yes,No,https://drive.google.com/file/d/1yuqh5SDNygg4LWsoT1Xy9YTyK0rxVKAg/view?usp=sharing,1
Physical Health,Social Situations,,Walking with a Friend,"You are going on a long walk tomorrow with a friend who walks a long distance every day. You have not been on a long walk in quite some time, and you worry about whether you'll be able to keep up. You think you will match your friend's pace.",,"Tomorrow, you will probably",Be able to keep up with your friend.,Fall way behind your friend during your walk.,https://drive.google.com/file/d/1S24x5sEIadqssQviVVvP9I8ZhijxHtS8/view?usp=drive_link,1
Physical Health,,,Longer Walks,"You have been walking laps in your neighborhood and are thinking about walking a longer trail in the park. You enjoy the feeling of accomplishment when you finish walking, but you are worried about whether you have what it takes to push yourself more when you are farther away from home.",,You think that finishing this trail will be,A goal within your reach.,Beyond your abilities.,https://drive.google.com/file/d/1bVn8rCLprj9LaS6qSnBMF3DJIw7nkL15/view?usp=drive_link,1
Physical Health,,,Rescheduled Vacation,"You've been wanting to go on a summer vacation to Europe for a few years. You rescheduled your trip from last summer to this upcoming summer, but you're worried getting sick will prevent you from finally going. You decide to see what happens, and you can always reschedule again if you need to. ",N/A,Are you going to stress out if you have to cancel your trip?,No,Yes,https://drive.google.com/open?id=1iwSQEorUGhLeyaNTGWmcYjNfwID4V4Ib&usp=drive_copy,1
Physical Health,,,Taking Precautions ,"Your grandchildren are in elementary school. You're worried that a classmate might give them the flu, and your grandchildren might get really sick. You decide you'll help make sure they stay up to date on their flu shots and learn to wash their hands properly to keep them safe.",N/A,Do you think your grandchildren will get the flu?,No,Yes,https://drive.google.com/file/d/1urQIYV5HdFA_cc0L0DFNa4CURMfBJjo8/view?usp=drive_link,1
Physical Health,,,Longer Walks,"You have been walking laps in your neighborhood and are thinking about walking a longer trail in the park. You enjoy the feeling of accomplishment when you finish walking, but you are worried about whether you have what it takes to push yourself more when you are farther away from home.","As you consider the idea of taking on this challenge, you don't think it is too much for you because you believe that you will probably be good enough. ",Do you think you will be incapable of completing a longer walk?,No,Yes,https://drive.google.com/file/d/1bVn8rCLprj9LaS6qSnBMF3DJIw7nkL15/view?usp=drive_link,1
Mental Health,Physical Health,,Monday Morning,"It's Monday morning and you are running late for a meeting. You feel your heart racing as you open the car door and sit down. Fearing that you might have a panic attack, you have a strong urge to get out of the car, and yet you decide to observe these sensations without reacting and stay seated.",N/A,Is it necessary to get out of the car because you feel your heart beating rapidly?,No,Yes,https://drive.google.com/file/d/1ho3hNNuBsI2_uM04efw2daW5FzUWG_Qk/view?usp=sharing,1
Physical Health,Social Situations,,Walking with a Friend,"You are going on a long walk tomorrow with a friend who walks a long distance every day. You have not been on a long walk in quite some time, and worry if you can keep up or not.",,You imagine the walk will be,Too fast for you no matter how hard you try.,At a pace that you can do if you try hard.,https://drive.google.com/file/d/1S24x5sEIadqssQviVVvP9I8ZhijxHtS8/view?usp=drive_link,1
Physical Health,Social Situations,,Medical Guilt,"After noticing your throat hurting a bit, you decide to go to the doctor. Your partner barely goes to the doctor because it's so expensive, and you think they'll be mad at you for the cost. You hope that they'll forgive you easily, because getting sick isn't fully in your control. ",N/A,Do you think your partner will stay mad at you?,No,Yes,https://drive.google.com/file/d/1Gf6Ri6evvJFPydrHiaWx4QY7vizDJegV/view?usp=drive_link,1
Social Situations,Physical Health,,Unmasked Peers,You arrive to a support group meeting with your mask on. You notice that all of your peers are not wearing a mask. You think that they must be well. ,N/A,Are any of the support group members sick?,No,Yes,https://drive.google.com/file/d/1FtHkL-AdkRCQvQ3tup-oLG_qljuCxq5w/view?usp=sharing,1
Social Situations,Physical Health,,Coughing at the Store,"You have a cold, but you decide to go to the grocery store since you feel well enough. You can't help but cough a few times, and you worry that others are judging you. No one has noticed you coughing, so you feel better about your decision to go to the store.",N/A,Are you glad that you went to the grocery store?,Yes,No,https://drive.google.com/file/d/14RLz2rhmGQZmMeXmHXS56q6fYPTTMZJx/view?usp=drive_link,1
Social Situations,Physical Health,,Sweat Stains,"It's a warm day and you and your friends are taking a walk outside. You notice that you are starting to sweat, and you can see some marks on your shirt. You know these friends well, and they will not care.",N/A,Will your friends make fun of your sweat marks on your shirt? ,No,Yes,https://drive.google.com/file/d/1Wch_kcxO-_MSrBd4tyGQsC_dXyOttIIF/view?usp=sharing,1
Physical Health,,,Dinner Party Supplies,"You are co-hosting a dinner party at your friend's apartment, and you just finished all the shopping. You start to sweat and feel your heart pounding after a couple of trips carrying the groceries up to the third floor. You feel a bit scared of these sensations. Unsure of whether they are good or bad, you decide to simply accept them.",N/A,Could you accept your racing heart as neither good nor bad?,Yes,No,https://drive.google.com/file/d/1QevesjiyIZoUiGS00ScGoNoxtScdTp8W/view?usp=sharing,1
Romantic Relationships,Physical Health,,Flu Worries,"Your partner doesn’t take the necessary precautions to prevent the flu. This worries you because someone you know is immunocompromised. When you think about talking to your partner about their actions, you think they will understand.",N/A,Will your partner listen to your concerns?,Yes,No,https://drive.google.com/file/d/1eS3xdgg3NdHjNuZm-PCj_U3BfXR0yy9S/view?usp=sharing,1
Physical Health,Mental Health,,Hot day ,"Returning home on a very hot day, you quickly drink a large glass of water. You soon feel abnormally full and a bit sick to your stomach. This feeling is surprising and uncomfortable, but you realize that it is something you can simply observe.",N/A,You responded to the feelings of sickness in your stomach by ...,Observing the sensations without doing anything.,Panicking about the sensations and calling an ambulance.,https://drive.google.com/file/d/1zIU7R9B0aDdb2iU_AHp4YbObnLDAts0M/view?usp=sharing,1
Finances,Physical Health,,Healthy But Expensive ,"You want to start eating healthier, so you start researching tips and recipes online. You quickly realize that many foods recommended by health experts cost a lot of money. When you think about eating healthier on a budget, you think you can be successful. ",N/A,Are healthy recipes unattainable for you? ,No,Yes,https://drive.google.com/file/d/1zL5N7y6DsslcbeJ8JgxBMyvWGx1zYBHS/view?usp=sharing,1
Social Situations,Physical Health,,Dancing class,"You are taking a dancing class and, during a break, find yourself talking to a newcomer about your job. As you chat, you notice that you are sweating. They probably assume this is a result of dancing.",N/A,Did the person you met at dance class think you were anxious?,No,Yes,https://drive.google.com/file/d/1yVXzFBXX6-Tsb9FVPimCrE8TubjyVWUU/view?usp=sharing,1
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,write your own
,,,,,,,,,,write your own
,,,,,,,,,,write your own
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,all
,,,,,,,,,,write your own
,,,,,,,,,,write your own
,,,,,,,,,,write your own
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
,,,,,,,,,,2
Romantic Relationships,Mental Health,,Relationship Struggles,"You have been with your partner for a while, and you are still very into them. Recently, your partner hasn't expressed much adoration towards you, and you wonder if they still love you as much as you love them. You think that they are no longer into you. ",N/A,Does your partner still love you?,No ,Yes,https://drive.google.com/file/d/1VIJYeImFMUm7Aaacnct7HyxaOYy72Mq6/view?usp=sharing,1
Romantic Relationships,,,Advice for a friend,"You spend an evening with a friend and end up talking about their relationship problems. As you give them some advice, you notice they are quiet. Once you get home later, you reflect on the evening and think that they found your advice helpful.",N/A,Did your friend think you gave them good advice about relationships?,Yes,No,https://drive.google.com/file/d/16B6D0IDuHuixxTYqmvYLjeLuAh-_nWS0/view?usp=sharing,1
Romantic Relationships,,,New meetup ,"You arrange to meet your new coworker at 8 p.m. at a local bar. You arrive on time and find that your new coworker is not there yet. Reflecting on your last conversation as you wait for a table, you remember that they found your life interesting.",N/A,Was your coworker interested in your life after your last conversation?,Yes,No,https://drive.google.com/file/d/1Mkolvpncrqbbodcp7p_QFyahwUrAabfA/view?usp=sharing,1
Romantic Relationships,,,Anticipating a date,"You and your partner plan a date night to reconnect, as you haven't been spending quality time together recently. As the evening approaches, you are nervous that you won't have as much fun as you used to or that the spark may have faded. Thinking about how your relationship has changed, you find contentment in the deep connection and companionship that have grown over time.",NA,Are you content with how your relationship has changed?,Yes,No,https://drive.google.com/file/d/1FccvJOxJ1IrfcxS0GzHIlNxNV5GiBH3P/view?usp=sharing,1
Romantic Relationships,Mental Health,,Special Day,"You have a dinner scheduled with someone you have wanted to hang out with for a while. On the day of the dinner, you feel a little nervous, as you wonder whether they will like you as much as you like your them. Feeling nervous is normal.",N/A,You probably feel nervous because ...,You haven't hung out with this person before.,You are unlikeable.,https://drive.google.com/file/d/1Yyi1e6BqxjDWtVu76Gq09Tb21smvhClb/view?usp=sharing,1
Romantic Relationships,,,A Delayed Response,"You texted your partner several hours ago. They haven't responded to it yet, even though they usually respond right away, and their read receipts are on.  You think that they probably forgot to reply. ",N/A,Is your partner mad at you?,No,Yes,https://drive.google.com/file/d/12j4LNcx3F1nnwTOsPVTvLrQGtgg6c-Me/view?usp=sharing,1
Romantic Relationships,Mental Health,,How You Look,You are going on a date with your spouse. You look in the mirror before you leave and you wonder if they will like your look. You realize that the only opinion that matters about your appearance is yours. ,N/A,Does it matter if your spouse likes your look?,No ,Yes,https://drive.google.com/file/d/1FccvJOxJ1IrfcxS0GzHIlNxNV5GiBH3P/view?usp=sharing,1
Romantic Relationships,,,Going on a Date,"You are going on a date tonight. You don't know the person well and you know there will be some silences in the conversation. Even though it might be awkward, you know you'll have fun.",N/A,Are you able to cope with awkward silences?,Yes,No,https://drive.google.com/file/d/1_3R4q50xu1yCQG9gAsv0N7Y30gmNDBsG/view?usp=sharing,1
Romantic Relationships,Mental Health,,Anticipating a Response,"You and your partner have different spending habits, which leads to frequent arguments and financial tension. This tension has started to impact your relationship, and you feel like you are growing resentful of one another. If you share how you're feeling, it might lead to more arguments.","You decide to open up and share, and they do the same. As you talk, you feel understood.",Did sharing how you feel lead to more arguments?,No,Yes,https://drive.google.com/file/d/1g-liY9kNWt9BMQ9drA6NwUGLBSjwk6Nn/view?usp=sharing,1
Romantic Relationships,,,Blind Date,"You are going on a blind date and just arrived at the restaurant. As you walk up to the entrance, you suddenly feel very nervous and turn around to leave, but quickly change your mind. At this moment, your date arrives and looks very offended.","At the end of the date, you realize that it is very common to feel a little uneasy in situations like these. Having explained and apologized, you believe that your date found your hesitation funny and endearing.",Your date's impression of you is probably ...,Positive,Negative.,https://drive.google.com/file/d/11_Qmki0qgGKl7UUkuuAVjbH9UzmfX-qA/view?usp=sharing,1
Romantic Relationships,,,Asking Out Your Friend,"You have been good friends with someone for a few years, and really value your relationship. You are very attracted to your friend, but are unsure how admitting your feelings would affect your friendship. If you were to ask your friend on a date you think your friend would find it weird",,"You think if you were to ask your friend on a date, your friend would probably",Stop returning your calls.,Ask if you want to make plans for next week.,https://drive.google.com/file/d/1ge0uSpMcmvzD_Cpmw8O9XZDxmWjnwoVr/view?usp=sharing,1
Romantic Relationships,,,Attractive Appraisal,"You meet an attractive person your age and they ask for your social media. You notice they added you, and now they can see that you don't have many followers. They will think that this is typical.",,Does this person your age think you're weird for having only a few followers? ,No,Yes,https://drive.google.com/file/d/1PzgfiFfMO18oSYFjyNqTvhmVruCUAL7O/view?usp=sharing,1
Romantic Relationships,Social Situations,,Anniversary Let-down,"Your anniversary with your significant other is this weekend, but they haven't mentioned to you that they made any big plans. Having your expectations let down seems to be a recurring event, and you think it's time to bring it up to them. You figure out a way to bring it up calmly, without starting a fight. ",N/A,Do you expect your conversation with your significant other to end in a fight? ,No,Yes,https://drive.google.com/file/d/1qTHESHjLrkqI-qXAdiuqsn_ps2XVA-kP/view?usp=drive_link,1
Romantic Relationships,Mental Health,,Comparing Yourself to Others,"Recently, your partner mentioned that they find a certain celebrity attractive. This celebrity looks nothing like you, and you wonder if your partner has changed their preferences since the beginning of your relationship. You think that they still find you attractive.  ",N/A,Is your partner attracted to you?,Yes,No,https://drive.google.com/file/d/1mWipNL9deH6mK7RLleXJM-RUIwSbC-IZ/view?usp=drive_link,1
Romantic Relationships,,,Busy Period,"With the business of the semester, you and your long-term partner have not been spending a lot of time together. When you do hang out, you and your partner seem distracted and tend to bicker. You think that this is just a rough patch, and that your relationship will last. ",N/A,Will you break up?,No,Yes,https://drive.google.com/file/d/1MGv1O1rLHyY4xqhj3vny7PTUtYTtHIVb/view?usp=sharing,1
Romantic Relationships,,,Argument with Your Partner,"You recently had a fight with your partner. It was about a serious issue, and you are concerned as to why your partner didn't agree with you. You think that you and your partner will eventually make up.  ",N/A,Is this fight a dealbreaker?,No ,Yes,https://drive.google.com/file/d/1g5l905rSslaK-uHj6vY5LZpSy42h1tjN/view?usp=sharing,1
Romantic Relationships,,,Asking Out Your Friend,"You have been good friends with someone for a few years, and really value your relationship. You are very attracted to your friend, but are unsure how admitting your feelings would affect your friendship. If you were to ask your friend on a date you think your friend would find it complimentary",,"If you ask your friend on a date, it will probably",Make your friend feel good.,Put your friend in an awkward position.,https://drive.google.com/file/d/1ge0uSpMcmvzD_Cpmw8O9XZDxmWjnwoVr/view?usp=sharing,1
Romantic Relationships,,,Texting Your Crush,"You have been hanging out with a cute coworker a lot lately, but aren't sure if your attraction is reciprocated. Today your coworker asks for your number. Your coworker will probably use your phone number to ask you on a date",,Your coworker probably asked for your phone number because,Your coworker thinks you are attractive.,Your coworker wants you to do more work.,https://drive.google.com/file/d/1WuPmRt-VoQfR_ZkT1nzIhMKeljNVUJMz/view?usp=sharing,1
Romantic Relationships,Mental Health,,Putting Yourself Out There,"You and your significant other have been caught up on your own responsibilities recently, and you feel as though you're drifting apart. You decide to plan a dinner date with them, to spend some quality time just the two of you. At dinner, you feel as though you're starting all of the conversations, and your partner seems uninterested. ","You decide to share how you're feeling with them, and they tell you they've just been tired from work and home responsibilities, and didn't realize how much it was affecting your relationship. You feel relieved.  ",Is your relationship okay?,Yes,No,https://drive.google.com/file/d/175t4xW0IN99gRfCfKY3yXEMDERREEH5-/view?usp=sharing,1
Romantic Relationships,Mental Health,,Friends in Relationships,"Your friends are all in relationships. You are not currently in a relationship, and you wonder if there is something wrong with you. You think that you are undesirable. ","After a while, you realize that it is very normal to not be in a relationship. You think that you enjoy being single, and the right person will come along when you are ready.  ",Are you capable of being in a relationship?,Yes,No,https://drive.google.com/file/d/1u-_r0tB9RIGlIUC3K6ifS1cUbgd25kEk/view?usp=sharing,1
Romantic Relationships,,,Texting Your Crush,"You have been hanging out with a cute coworker a lot lately, but aren't sure if your attraction is reciprocated. Today your coworker asks for your number. Your coworker will probably use your phone number to ask you about work",,You are likely to get a text from your coworker that,Asks you to pick up a shift.,Asks you to go out for coffee.,https://drive.google.com/file/d/1WuPmRt-VoQfR_ZkT1nzIhMKeljNVUJMz/view?usp=sharing,1
